provider,resort_scope,endpoint_url,endpoint_type,auth_required,http_status,content_type,contains_base_depth,contains_new_snow,contains_weather,stability,queried_at,notes
Palisades Tahoe / mtnpowder,Palisades Tahoe,https://mtnpowder.com/feed?resortId=61,public_json,false,200,application/json,true,true,true,medium,2026-05-26T06:10:00Z,"Discovered in Palisades Tahoe Netlify Vue widget JS. SnowReport includes BaseArea/MidMountainArea/SummitArea with BaseIn/BaseCm, Last24HoursIn, Last48HoursIn, Last72HoursIn, Last7DaysIn, StormTotalIn, SeasonTotalIn, BaseConditions, LastUpdate. Best direct public JSON endpoint found."
Palisades Tahoe / mtnpowder,Alpine Meadows legacy,https://mtnpowder.com/feed?resortId=62,public_json,false,200,application/json,false,false,true,medium,2026-05-26T06:10:00Z,"Discovered in same widget JS. Current response contained Name, LastUpdate, Forecast but no SnowReport object. Weather endpoint exists separately. May be legacy/forecast-only for Alpine."
Palisades Tahoe / mtnpowder,Palisades Tahoe weather,https://mtnpowder.com/feed/61/weather,public_json,false,200,application/json,false,false,true,medium,2026-05-26T06:10:00Z,Weather-only JSON for base/mid/summit CurrentConditions. Useful for weather snapshots but not snow base depth.
Palisades Tahoe / mtnpowder,Alpine Meadows weather,https://mtnpowder.com/feed/62/weather,public_json,false,200,application/json,false,false,true,medium,2026-05-26T06:10:00Z,Weather-only JSON for Alpine base/mid/summit CurrentConditions. Useful for weather snapshots but not snow base depth.
Aspen Snowmass,Aspen Mountain / Highlands / Buttermilk / Snowmass,https://www.aspensnowmass.com/AspenSnowmass/WeatherDashboard/Feed,public_json,false,200,application/json,seasonal_or_null,seasonal_or_null,true,medium,2026-05-26T06:10:00Z,"Endpoint is embedded as data-endpoint on official page header weather-widget. Current response is public JSON with season, mountains, weather, forecast; in summer, weather.snow is null. Likely best official endpoint to poll in winter."
Summit at Snoqualmie,Alpental and Summit areas,https://www.summitatsnoqualmie.com/alpental/mountain-report,nextjs_rsc_html,false,200,text/html,true,true,true,medium_low,2026-05-26T06:10:00Z,Page is Next.js App Router/RSC. Static HTML includes self.__next_f flight payload with snowConditions config and weather station metadata; rendered page/search result exposes base-depth values. Not a clean JSON API; ingestion would require RSC/HTML parsing unless a backing endpoint is discovered.
Hakuba Valley,Hakuba Valley component resorts,https://www.hakubavalley.com/en/weather_en/,static_html,false,200,text/html,true,unclear,true,medium,2026-05-26T06:10:00Z,Official WordPress page renders report-list/report-item HTML with resort weather/snow rows and detail pages. No JSON endpoint found; includes external var.resortech script reference but DNS fetch failed. HTML parsing is viable.
Whistler Blackcomb,Whistler Mountain / Blackcomb Mountain,https://secure.whistlerblackcomb.com/TomPDF/Default.aspx?Season=1&Type=bg,official_pdf,false,200,application/pdf,true,true,unclear,medium,2026-05-26T06:10:00Z,Official PDF endpoint returns a report PDF. Search result exposes SNOW BASE labels; direct fetch returns PDF bytes. Use PDF text extraction if allowed. Official web page itself is protected/limited and did not expose clean JSON.
Vail Resorts web pages,Vail / Breckenridge / Park City / many Epic resorts,https://www.vail.com/the-mountain/mountain-conditions/snow-and-weather-report.aspx,protected_html_no_json_found,unknown,403_or_challenge,text/html,not_found,not_found,not_found,low,2026-05-26T06:10:00Z,Static fetches are blocked or return short challenge/reservation shell pages. No public JSON endpoint found in this pass. Prefer licensed Mountain News/SnoCountry feed or official page browser/PDF extraction where available.
Mountain News / OnTheSnow Partner API,global multi-resort,https://partner-api.onthesnow.com/resorts/snowreport,licensed_json_api,true,not_called,application/json,true,true,true,high_if_licensed,2026-05-26T06:10:00Z,"Official docs say API returns resort-sourced snow depths at base/mid/summit where available, recent snowfall, lifts, terrain, surface type, status. Recommended production feed if licensing is feasible."
SnoCountry Conditions Feed,global/US multi-resort,https://feeds.snocountry.net/getSnowReport.php,licensed_json_api,true,not_called,application/json,true,true,true,high_if_licensed,2026-05-26T06:10:00Z,Docs describe JSON API with resort list and getSnowReport. Requires API key; sample key limited to a few resorts. Candidate fallback/alternative to Mountain News.
